"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"emb",1.15061765572593e-32,-0.42085754961932,0.499,0.747,2.30123531145187e-29
"CG3746",1.36415673577604e-32,0.108304268824233,0.041,0.119,2.72831347155208e-29
"CG42394",1.44844186496273e-32,-0.963987999428905,0.182,0.404,2.89688372992545e-29
"tap",1.50690823943057e-32,0.519934626917801,0.183,0.414,3.01381647886115e-29
"futsch",1.72635478112644e-32,-0.656703173428328,0.285,0.524,3.45270956225289e-29
"GC",1.75984093289108e-32,-0.138475955480805,0.104,0.321,3.51968186578215e-29
"CG42524",2.03653715646233e-32,-0.5783825191304,0.135,0.345,4.07307431292466e-29
"mnd",2.09926409869444e-32,-0.386579741962552,0.242,0.453,4.19852819738889e-29
"5-HT1A",4.13824538419471e-32,-0.621298259342815,0.182,0.383,8.27649076838942e-29
"GLS",1.609361132153e-31,-0.185213779821098,0.109,0.325,3.218722264306e-28
"Nxt1",1.74204272764795e-31,0.438685971638943,0.248,0.259,3.4840854552959e-28
"Proc",2.32374542496066e-31,0.57977845166356,0.21,0.408,4.64749084992133e-28
"CG10803",2.879762754746e-31,-0.247760926083079,0.095,0.312,5.75952550949199e-28
