"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG7639",0,0.377479408670296,0.166,0.014,0,"33","CG7639"
"Sld5",0,0.37734052195648,0.154,0.008,0,"33","Sld5"
"Pdhb",0,0.375797973326325,0.385,0.064,0,"33","Pdhb"
"CSN5",0,0.375438525672375,0.298,0.038,0,"33","CSN5"
"CG9839",0,0.374898029808125,0.147,0.009,0,"33","CG9839"
"Nxf3",0,0.373525391041182,0.114,0.003,0,"33","Nxf3"
"CG3085",0,0.373229409213571,0.109,0.002,0,"33","CG3085"
"mahj",0,0.373069763953273,0.176,0.014,0,"33","mahj"
"Uev1A.2",0,0.372520099848804,0.448,0.073,0,"33","Uev1A"
"mRpL15",0,0.371568677531556,0.222,0.023,0,"33","mRpL15"
"mthl5",0,0.37096552490256,0.135,0.008,0,"33","mthl5"
"CHORD",0,0.370783094836943,0.192,0.016,0,"33","CHORD"
"CG10038",0,0.370486156645218,0.23,0.019,0,"33","CG10038"
"eIF3d1",0,0.369904885414233,0.346,0.049,0,"33","eIF3d1"
"fh",0,0.369793109195422,0.167,0.013,0,"33","fh"
"CG2199",0,0.367974775154338,0.204,0.021,0,"33","CG2199"
