"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG10340",7.8734280151004e-09,0.869099112645747,0.15,0.023,0.000100764131737255,"atlas_1h_alh","CG10340"
"ND-13B",9.38072257362977e-09,1.31311954282682,0.386,0.162,0.000120054487497314,"atlas_1h_alh","ND-13B"
"RpL38",1.04553011258967e-08,0.544646659175464,0.914,0.803,0.000133806943809226,"atlas_1h_alh","RpL38"
"CG11752",1.0600301153028e-08,1.32064925191496,0.357,0.149,0.000135662654156453,"atlas_1h_alh","CG11752"
"Sfxn1-3",1.24399611784597e-08,1.22330387307238,0.214,0.055,0.000159206623161928,"atlas_1h_alh","Sfxn1-3"
"CG15209",1.50074080686886e-08,-1.62147493816431,0.007,0.208,0.000192064808463077,"atlas_1h_alh","CG15209"
"Sdr",1.51129308966948e-08,-1.25897981518722,0.171,0.444,0.0001934152896159,"atlas_1h_alh","Sdr"
"VhaM9.7-b",1.58461143620872e-08,1.00159628383725,0.571,0.318,0.000202798571605992,"atlas_1h_alh","VhaM9.7-b"
"CG32032",1.63145817903796e-08,1.42921491750702,0.557,0.323,0.000208794017753278,"atlas_1h_alh","CG32032"
"SdhD",1.74741766175761e-08,1.37994003784564,0.35,0.146,0.000223634512351739,"atlas_1h_alh","SdhD"
